pokedex_number,pokemon_name,source_page_url,downloaded_image_url,local_filename,success_failure,selection_method,error
0001,Bulbasaur,https://www.pokemon.com/us/pokedex/bulbasaur,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/001.png,0001_bulbasaur.png,success,canonical-full-asset,
0002,Ivysaur,https://www.pokemon.com/us/pokedex/ivysaur,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/002.png,0002_ivysaur.png,success,canonical-full-asset,
0003,Venusaur,https://www.pokemon.com/us/pokedex/venusaur,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/003.png,0003_venusaur.png,success,canonical-full-asset,
0004,Charmander,https://www.pokemon.com/us/pokedex/charmander,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/004.png,0004_charmander.png,success,canonical-full-asset,
0005,Charmeleon,https://www.pokemon.com/us/pokedex/charmeleon,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/005.png,0005_charmeleon.png,success,canonical-full-asset,
0006,Charizard,https://www.pokemon.com/us/pokedex/charizard,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/006.png,0006_charizard.png,success,canonical-full-asset,
0007,Squirtle,https://www.pokemon.com/us/pokedex/squirtle,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/007.png,0007_squirtle.png,success,canonical-full-asset,
0008,Wartortle,https://www.pokemon.com/us/pokedex/wartortle,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/008.png,0008_wartortle.png,success,canonical-full-asset,
0009,Blastoise,https://www.pokemon.com/us/pokedex/blastoise,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/009.png,0009_blastoise.png,success,canonical-full-asset,
0010,Caterpie,https://www.pokemon.com/us/pokedex/caterpie,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/010.png,0010_caterpie.png,success,canonical-full-asset,
0011,Metapod,https://www.pokemon.com/us/pokedex/metapod,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/011.png,0011_metapod.png,success,canonical-full-asset,
0012,Butterfree,https://www.pokemon.com/us/pokedex/butterfree,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/012.png,0012_butterfree.png,success,canonical-full-asset,
0013,Weedle,https://www.pokemon.com/us/pokedex/weedle,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/013.png,0013_weedle.png,success,canonical-full-asset,
0014,Kakuna,https://www.pokemon.com/us/pokedex/kakuna,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/014.png,0014_kakuna.png,success,canonical-full-asset,
0015,Beedrill,https://www.pokemon.com/us/pokedex/beedrill,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/015.png,0015_beedrill.png,success,canonical-full-asset,
0016,Pidgey,https://www.pokemon.com/us/pokedex/pidgey,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/016.png,0016_pidgey.png,success,canonical-full-asset,
0017,Pidgeotto,https://www.pokemon.com/us/pokedex/pidgeotto,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/017.png,0017_pidgeotto.png,success,canonical-full-asset,
0018,Pidgeot,https://www.pokemon.com/us/pokedex/pidgeot,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/018.png,0018_pidgeot.png,success,canonical-full-asset,
0019,Rattata,https://www.pokemon.com/us/pokedex/rattata,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/019.png,0019_rattata.png,success,canonical-full-asset,
0020,Raticate,https://www.pokemon.com/us/pokedex/raticate,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/020.png,0020_raticate.png,success,canonical-full-asset,
0021,Spearow,https://www.pokemon.com/us/pokedex/spearow,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/021.png,0021_spearow.png,success,canonical-full-asset,
0022,Fearow,https://www.pokemon.com/us/pokedex/fearow,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/022.png,0022_fearow.png,success,canonical-full-asset,
0023,Ekans,https://www.pokemon.com/us/pokedex/ekans,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/023.png,0023_ekans.png,success,canonical-full-asset,
0024,Arbok,https://www.pokemon.com/us/pokedex/arbok,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/024.png,0024_arbok.png,success,canonical-full-asset,
0025,Pikachu,https://www.pokemon.com/us/pokedex/pikachu,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/025.png,0025_pikachu.png,success,canonical-full-asset,
0026,Raichu,https://www.pokemon.com/us/pokedex/raichu,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/026.png,0026_raichu.png,success,canonical-full-asset,
0027,Sandshrew,https://www.pokemon.com/us/pokedex/sandshrew,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/027.png,0027_sandshrew.png,success,canonical-full-asset,
0028,Sandslash,https://www.pokemon.com/us/pokedex/sandslash,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/028.png,0028_sandslash.png,success,canonical-full-asset,
0029,Nidoran F,https://www.pokemon.com/us/pokedex/nidoran-f,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/029.png,0029_nidoran_f.png,success,canonical-full-asset,
0030,Nidorina,https://www.pokemon.com/us/pokedex/nidorina,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/030.png,0030_nidorina.png,success,canonical-full-asset,
0031,Nidoqueen,https://www.pokemon.com/us/pokedex/nidoqueen,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/031.png,0031_nidoqueen.png,success,canonical-full-asset,
0032,Nidoran M,https://www.pokemon.com/us/pokedex/nidoran-m,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/032.png,0032_nidoran_m.png,success,canonical-full-asset,
0033,Nidorino,https://www.pokemon.com/us/pokedex/nidorino,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/033.png,0033_nidorino.png,success,canonical-full-asset,
0034,Nidoking,https://www.pokemon.com/us/pokedex/nidoking,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/034.png,0034_nidoking.png,success,canonical-full-asset,
0035,Clefairy,https://www.pokemon.com/us/pokedex/clefairy,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/035.png,0035_clefairy.png,success,canonical-full-asset,
0036,Clefable,https://www.pokemon.com/us/pokedex/clefable,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/036.png,0036_clefable.png,success,canonical-full-asset,
0037,Vulpix,https://www.pokemon.com/us/pokedex/vulpix,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/037.png,0037_vulpix.png,success,canonical-full-asset,
0038,Ninetales,https://www.pokemon.com/us/pokedex/ninetales,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/038.png,0038_ninetales.png,success,canonical-full-asset,
0039,Jigglypuff,https://www.pokemon.com/us/pokedex/jigglypuff,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/039.png,0039_jigglypuff.png,success,canonical-full-asset,
0040,Wigglytuff,https://www.pokemon.com/us/pokedex/wigglytuff,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/040.png,0040_wigglytuff.png,success,canonical-full-asset,
0041,Zubat,https://www.pokemon.com/us/pokedex/zubat,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/041.png,0041_zubat.png,success,canonical-full-asset,
0042,Golbat,https://www.pokemon.com/us/pokedex/golbat,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/042.png,0042_golbat.png,success,canonical-full-asset,
0043,Oddish,https://www.pokemon.com/us/pokedex/oddish,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/043.png,0043_oddish.png,success,canonical-full-asset,
0044,Gloom,https://www.pokemon.com/us/pokedex/gloom,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/044.png,0044_gloom.png,success,canonical-full-asset,
0045,Vileplume,https://www.pokemon.com/us/pokedex/vileplume,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/045.png,0045_vileplume.png,success,canonical-full-asset,
0046,Paras,https://www.pokemon.com/us/pokedex/paras,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/046.png,0046_paras.png,success,canonical-full-asset,
0047,Parasect,https://www.pokemon.com/us/pokedex/parasect,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/047.png,0047_parasect.png,success,canonical-full-asset,
0048,Venonat,https://www.pokemon.com/us/pokedex/venonat,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/048.png,0048_venonat.png,success,canonical-full-asset,
0049,Venomoth,https://www.pokemon.com/us/pokedex/venomoth,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/049.png,0049_venomoth.png,success,canonical-full-asset,
0050,Diglett,https://www.pokemon.com/us/pokedex/diglett,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/050.png,0050_diglett.png,success,canonical-full-asset,
0051,Dugtrio,https://www.pokemon.com/us/pokedex/dugtrio,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/051.png,0051_dugtrio.png,success,canonical-full-asset,
0052,Meowth,https://www.pokemon.com/us/pokedex/meowth,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/052.png,0052_meowth.png,success,canonical-full-asset,
0053,Persian,https://www.pokemon.com/us/pokedex/persian,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/053.png,0053_persian.png,success,canonical-full-asset,
0054,Psyduck,https://www.pokemon.com/us/pokedex/psyduck,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/054.png,0054_psyduck.png,success,canonical-full-asset,
0055,Golduck,https://www.pokemon.com/us/pokedex/golduck,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/055.png,0055_golduck.png,success,canonical-full-asset,
0056,Mankey,https://www.pokemon.com/us/pokedex/mankey,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/056.png,0056_mankey.png,success,canonical-full-asset,
0057,Primeape,https://www.pokemon.com/us/pokedex/primeape,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/057.png,0057_primeape.png,success,canonical-full-asset,
0058,Growlithe,https://www.pokemon.com/us/pokedex/growlithe,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/058.png,0058_growlithe.png,success,canonical-full-asset,
